"","Name","Team","Position","Proj_Score","Price","adp"
"1","Max Gawn","MEL","RUC",146,751400,59
"2","Lachie Neale","BRI","MID",128,721800,33
"3","Brodie Grundy","COL","RUC",125,648200,38
"4","Jake Lloyd","SYD","DEF",120,656400,40
"5","Jack Steele","STK","MID",120,658000,25
"6","Clayton Oliver","MEL","MID",119,656700,24
"7","Patrick Dangerfield","GEE","FWD",117,611900,45
"8","Jack Macrae","WBD","MID",117,650100,22
"9","Patrick Dangerfield","GEE","MID",117,611900,22
"10","Zach Merrett","ESS","MID",116,620900,21
"11","Christian Petracca","MEL","MID",115,631400,20
"12","Jarryd Lyons","BRI","MID",112,604600,17
"13","Marcus Bontempelli","WBD","MID",111,623900,16
"14","Nat Fyfe","FRE","MID",111,608300,16
"15","Todd Goldstein","NME","RUC",111,601700,24
"16","Josh Kelly","GWS","MID",110,615600,15
"17","Tom Mitchell","HAW","MID",109,610000,14
"18","Matt Crouch","ADE","MID",109,594700,14
"19","Sam Menegola","GEE","MID",109,579000,14
"20","Reilly O'Brien","ADE","RUC",109,570800,22
"21","Travis Boak","POR","MID",108,590400,13
"22","Nic Naitanui","WCE","RUC",108,593700,21
"23","Rory Laird","ADE","DEF",107,564800,27
"24","Luke Parker","SYD","MID",107,571100,12
"25","Touk Miller","GCS","MID",107,569200,12
"26","Rory Laird","ADE","MID",107,564800,12
"27","Andrew Gaff","WCE","MID",106,570800,11
"28","Tom Rockliff","POR","MID",106,573000,11
"29","Luke Ryan","FRE","DEF",105,576500,25
"30","Caleb Daniel","WBD","DEF",105,545500,25
"31","Taylor Adams","COL","MID",105,588800,10
"32","Dustin Martin","RIC","MID",105,541600,10
"33","Patrick Cripps","CAR","MID",105,523700,10
"34","Dustin Martin","RIC","FWD",104,541600,32
"35","Hugh Greenwood","GCS","MID",104,567300,9
"36","Cameron Guthrie","GEE","MID",104,554700,9
"37","Stephen Coniglio","GWS","MID",104,528900,9
"38","Tom Liberatore","WBD","MID",103,569900,8
"39","Jed Anderson","NME","MID",103,562300,8
"40","Hugh McCluggage","BRI","MID",103,545500,8
"41","Sam Walsh","CAR","MID",103,543300,8
"42","Tim English","WBD","RUC",103,551200,16
"43","Lachie Whitfield","GWS","DEF",102,561600,22
"44","Jordan Ridley","ESS","DEF",102,547700,22
"45","Lachie Hunter","WBD","MID",102,618500,7
"46","Ollie Wines","POR","MID",102,560600,7
"47","Jayden Short","RIC","DEF",101,519300,21
"48","Tom Stewart","GEE","DEF",101,538000,21
"49","Tom Hawkins","GEE","FWD",101,568600,29
"50","Adam Saad","CAR","DEF",100,526200,20
"51","Scott Pendlebury","COL","MID",100,592200,5
"52","Andrew Brayshaw","FRE","MID",100,544200,5
"53","Matt Rowell","GCS","MID",100,495100,5
"54","Jeremy Howe","COL","DEF",99,517900,19
"55","Callum Mills","SYD","DEF",99,544800,19
"56","Steele Sidebottom","COL","FWD",99,588000,27
