,Name,Team,Position,proj_score,proj_salary,Price,value,2020_Games,2020_Average,talent,opportunity,durability,form,consistency,weighted_talent,weighted_opportunity,weighted_durability,weighted_form,weighted_consistency,manual_weight,updated_proj
1,Max Gawn,MEL,RUC,136,728709,751400,-22691,14,139.9,138.86,9.3625,82.35,134.33,0.86,20,12.65,6.59,8,4.58,0,136
2,Lachie Neale,BRI,MID,134,718162,721800,-3638,17,134.4,132.74,9.62,100,112.86,0.79,19.12,13,8,6.75,4.2,0,134
3,Jake Lloyd,SYD,DEF,131,701006,656400,44606,17,122.2,121.18,8.82,100,125.4,0.94,17.45,11.92,8,7.48,5,0,131
4,Brodie Grundy,COL,RUC,126,676960,648200,28760,17,120.6,128.85,7.9625,100,106,0.84,18.56,10.76,8,6.35,4.47,0,126
5,Clayton Oliver,MEL,MID,124,667257,656700,10557,17,122.2,121.24,8.43,100,109.5,0.76,17.46,11.39,8,6.56,4.04,0,124
6,Matt Crouch,ADE,MID,124,663460,594700,68760,16,110.7,109.69,9.25,94.12,128.8,0.69,15.8,12.5,7.53,7.68,3.67,0,124
7,Jack Steele,STK,MID,123,661632,658000,3632,17,122.5,119.58,7.51,100,129.86,0.74,17.22,10.15,8,7.74,3.94,,123
8,Zach Merrett,ESS,MID,123,660929,620900,40029,16,115.6,114.56,8.68,94.12,127,0.69,16.5,11.73,7.53,7.57,3.67,-1,122
9,Tom Mitchell,HAW,MID,122,653054,610000,43054,17,113.5,123.04,8.01,100,107.4,0.65,17.72,10.83,8,6.43,3.46,-3,119
10,Jack Macrae,WBD,MID,121,650944,650100,844,17,121,120.44,8.52,100,97.6,0.67,17.35,11.51,8,5.86,3.57,-1,120
11,Christian Petracca,MEL,MID,120,647007,631400,15607,17,117.5,116.53,7.94,100,107.67,0.76,16.79,10.73,8,6.45,4.04,0,120
12,Patrick Dangerfield,GEE,MID,119,637445,611900,25545,17,113.9,125.12,6.69,100,116.56,0.62,18.02,9.04,8,6.97,3.3,0,119
13,Patrick Dangerfield,GEE,FWD,119,637445,611900,25545,17,113.9,125.12,6.69,100,116.56,0.62,18.02,9.04,8,6.97,3.3,0,119
14,Todd Goldstein,NME,RUC,118,631257,601700,29557,17,112,112.88,8.715,100,84,0.71,16.26,11.78,8,5.07,3.78,-3,115
15,Andrew Gaff,WCE,MID,117,628585,570800,57785,17,106.2,104.94,8.48,100,114.83,0.61,15.12,11.46,8,6.87,3.25,0,117
16,Reilly O'Brien,ADE,RUC,116,624367,570800,53567,17,106.2,105.24,8.4525,100,111.6,0.59,15.16,11.42,8,6.68,3.14,0,116
17,Jarryd Lyons,BRI,MID,115,620289,604600,15689,17,112.5,109.58,7.74,100,98.71,0.74,15.78,10.46,8,5.93,3.94,0,115
18,Taylor Adams,COL,MID,115,620007,588800,31207,17,109.6,109.63,7.19,100,106.43,0.79,15.79,9.72,8,6.38,4.2,-3,112
19,Rory Laird,ADE,DEF,115,615929,564800,51129,17,105.1,104.12,8.1,100,117.6,0.53,15,10.95,8,7.03,2.82,0,115
20,Rory Laird,ADE,MID,115,615929,564800,51129,17,105.1,104.12,8.1,100,117.6,0.53,15,10.95,8,7.03,2.82,0,115
21,Luke Parker,SYD,MID,115,615226,571100,44126,17,106.3,105.29,7.57,100,109.8,0.71,15.17,10.23,8,6.57,3.78,0,115
22,Lachie Whitfield,GWS,DEF,114,612554,561600,50954,17,104.5,104.1,7.69,100,117.6,0.59,15,10.39,8,7.03,3.14,-12,112
23,Nat Fyfe,FRE,MID,114,610164,608300,1864,14,113.2,118.36,7.12,82.35,112.4,0.64,17.05,9.62,6.59,6.72,3.41,-1,113
24,Marcus Bontempelli,WBD,MID,113,609461,623900,-14439,17,116.1,112.68,6.74,100,112.8,0.61,16.23,9.11,8,6.75,3.25,0,113
25,Travis Boak,POR,MID,113,609461,590400,19061,17,109.9,107.47,7.43,100,112.5,0.58,15.48,10.04,8,6.73,3.09,0,113
26,Rowan Marshall,STK,RUC,113,607773,557200,50573,17,103.7,105.64,8.3825,100,102.86,0.47,15.22,11.33,8,6.17,2.5,-50,63
27,Josh Kelly,GWS,MID,113,606508,615600,-9092,14,114.6,113.57,7.39,82.35,107,0.71,16.36,9.99,6.59,6.41,3.78,-1,112
28,Sam Menegola,GEE,MID,112,602429,579000,23429,17,107.8,105.71,6.83,100,110.33,0.71,15.23,9.23,8,6.6,3.78,0,112
29,Nic Naitanui,WCE,RUC,112,599055,593700,5355,16,110.5,110.41,6.895,94.12,112.2,0.59,15.9,9.32,7.53,6.71,3.14,-2,110
30,Dustin Martin,RIC,MID,111,598773,541600,57173,16,100.8,112.89,7.12,94.12,108.67,0.5,16.26,9.62,7.53,6.51,2.66,0,111
31,Dustin Martin,RIC,FWD,111,598773,541600,57173,16,100.8,112.89,7.12,94.12,108.67,0.5,16.26,9.62,7.53,6.51,2.66,0,111
32,Mitch Duncan,GEE,MID,111,598070,556700,41370,16,103.6,107.75,6.56,94.12,110.56,0.75,15.52,8.87,7.53,6.62,3.99,-2,109
33,Tom Rockliff,POR,MID,111,597508,573000,24508,14,106.6,106.12,7.39,82.35,122.67,0.62,15.29,9.99,6.59,7.32,3.3,0,111
34,Touk Miller,GCS,MID,110,593430,569200,24230,17,105.9,104.94,7.01,100,102.4,0.65,15.12,9.48,8,6.14,3.46,0,110
35,Sam Walsh,CAR,MID,110,591461,543300,48161,17,101.1,100.12,7.3,100,121.8,0.47,14.42,9.87,8,7.27,2.5,0,110
36,Caleb Daniel,WBD,DEF,109,587523,545500,42023,17,101.5,103.44,6.51,100,118.8,0.56,14.9,8.8,8,7.1,2.98,0,109
37,Tim English,WBD,RUC,109,587523,551200,36323,17,102.6,101.06,7.595,100,105,0.5,14.56,10.27,8,6.29,2.66,0,109
38,Cameron Guthrie,GEE,MID,109,585273,554700,30573,17,103.2,102.43,6.87,100,109.11,0.57,14.76,9.29,8,6.53,3.04,0,109
39,Luke Ryan,FRE,DEF,109,583867,576500,7367,17,107.3,105.71,6.2,100,102.2,0.71,15.23,8.38,8,6.13,3.78,0,109
40,Lachie Hunter,WBD,MID,108,581617,618500,-36883,9,115.1,110.9,8.16,52.94,115.75,0.6,15.97,11.03,4.24,6.92,3.2,0,108
41,Jed Anderson,NME,MID,108,581336,562300,19036,15,104.7,103.67,7,88.24,118.4,0.53,14.93,9.46,7.06,7.07,2.82,0,108
42,Patrick Cripps,CAR,MID,108,577961,523700,54261,17,97.5,112.58,6.99,100,81.6,0.47,16.22,9.45,8,4.93,2.5,0,108
43,Stephen Coniglio,GWS,MID,107,576977,528900,48077,16,98.4,105.88,7.06,94.12,95.25,0.56,15.25,9.54,7.53,5.73,2.98,0,107
44,Tom Liberatore,WBD,MID,107,576555,569900,6655,15,106.1,104,6.7,88.24,115.8,0.56,14.98,9.06,7.06,6.92,2.98,0,107
45,Hugh Greenwood,GCS,MID,107,576414,567300,9114,17,105.6,104.59,6.22,100,111.8,0.53,15.07,8.41,8,6.69,2.82,0,107
46,Hugh McCluggage,BRI,MID,107,575008,545500,29508,17,101.5,102.16,6.68,100,105.43,0.53,14.72,9.03,8,6.32,2.82,0,107
47,Ollie Wines,POR,MID,107,573180,560600,12580,15,104.3,103.24,7.07,88.24,107.67,0.53,14.87,9.56,7.06,6.45,2.82,0,107
48,Scott Pendlebury,COL,MID,106,568117,592200,-24083,13,110.2,107.83,7.47,76.47,102.6,0.47,15.53,10.1,6.12,6.15,2.5,0,106
49,Dylan Shiel,ESS,MID,105,566571,548000,18571,15,102,101,7.65,88.24,97.17,0.47,14.55,10.34,7.06,5.84,2.5,0,105
50,Steele Sidebottom,COL,MID,105,562352,588000,-25648,9,109.4,108.44,7.52,52.94,117,0.56,15.62,10.16,4.24,6.99,2.98,0,105
51,Steele Sidebottom,COL,FWD,105,562352,588000,-25648,9,109.4,108.44,7.52,52.94,117,0.56,15.62,10.16,4.24,6.99,2.98,0,105
52,Luke McDonald,NME,DEF,104,559258,512900,46358,17,95.5,94.47,6.74,100,114.8,0.41,13.61,9.11,8,6.86,2.19,0,104
53,Andrew Brayshaw,FRE,MID,104,557852,544200,13652,17,101.3,99.71,6.63,100,91.8,0.53,14.36,8.96,8,5.53,2.82,0,104
54,Adam Treloar,WBD,MID,104,556586,587600,-31014,8,109.4,110.23,8.54,47.06,86,0.6,15.88,11.54,3.77,5.19,3.2,-2,102
55,Jeremy Howe,COL,DEF,103,555743,517900,37843,4,120.5,119.5,6.83,23.53,120.5,0.75,17.21,9.23,1.89,7.2,3.99,0,103
