Name,Team,Position,Price,proj_score,,Bench_Name,Bench_Team,Bench_Position,Bench_Price,Bench_proj_score,Bench_other_position,,,,,
Mitch Lewis,HAW,FWD,199500,65,,Heath Chapman,FRE,DEF,148800,60,,,,,Great,>70
Harrison Jones,ESS,FWD,123900,60,,Isaac Chugg,COL,DEF,102400,55,FWD,,,,Good,64
Will Phillips,NME,MID,198300,64,,Finlay Macrae,COL,MID,126300,58,FWD,,,,Above avg,60
Braeden Campbell,SYD,MID,189300,64,,Luke Valente,FRE,MID,123900,55,,,,,avg,55
Braeden Campbell,SYD,FWD,189300,64,,Mark Hutchings,WCE,MID,157600,60,FWD,,,,below avg,53
Archie Perkins,ESS,FWD,171300,64,,Matt Flynn,GWS,RUC,123900,65,,,,,poor,48
Archie Perkins,ESS,MID,171300,64,,Will Kelly,COL,FWD,135400,60,,,,,,
Tom Powell,NME,MID,153300,64,,Josh Treacy,FRE,RUC,102400,68,FWD,,,,,
Will Gould,SYD,DEF,123900,64,,,,,,,,,,,,
Trey Ruscoe,COL,FWD,206800,60,,,,,,,,,,,,
Bailey J. Williams,WCE,RUC,193400,60,,,,,,,,,,,,
Bailey J. Williams,WCE,FWD,193400,60,,,,,,,,,,,,
Sam Flanders,GCS,FWD,192300,60,,,,,,,,,,,,
Jonathon Patton,HAW,FWD,189800,60,,,,,,,,,,,,
Neville Jetta,MEL,DEF,186300,60,,,,,,,,,,,,
Lachlan Jones,POR,DEF,139800,60,,,,,,,,,,,,
Tom Fullarton,BRI,FWD,128900,60,,,,,,,,,,,,
Tom Fullarton,BRI,RUC,128900,60,,,,,,,,,,,,
James Rowe,ADE,FWD,117300,60,,,,,,,,,,,,
Connor Downie,HAW,MID,117300,60,,,,,,,,,,,,
Paddy Dow,CAR,MID,202400,55,,,,,,,,,,,,
Paddy Dow,CAR,FWD,202400,55,,,,,,,,,,,,
Lachie Young,NME,DEF,202000,55,,,,,,,,,,,,
Lachie Young,NME,MID,202000,55,,,,,,,,,,,,
Finn Maginness,HAW,MID,195600,55,,,,,,,,,,,,
Conor Nash,HAW,FWD,193400,55,,,,,,,,,,,,
Louis Butler,WBD,DEF,191800,55,,,,,,,,,,,,
Patrick Naish,RIC,MID,180500,55,,,,,,,,,,,,
Deven Robertson,BRI,FWD,176800,55,,,,,,,,,,,,
Minairo Frederick,FRE,FWD,175700,55,,,,,,,,,,,,
Atu Bosenavulagi,NME,FWD,175500,55,,,,,,,,,,,,
Cody Weightman,WBD,FWD,173700,55,,,,,,,,,,,,
Ned Cahill,ESS,FWD,161200,55,,,,,,,,,,,,
Tom Campbell,NME,RUC,154700,55,,,,,,,,,,,,
Tom Campbell,NME,FWD,154700,55,,,,,,,,,,,,
Kieran Strachan,ADE,RUC,146700,55,,,,,,,,,,,,
Kieran Strachan,ADE,FWD,146700,55,,,,,,,,,,,,
Jeremy Sharp,GCS,MID,141800,55,,,,,,,,,,,,
Dylan Roberton,STK,DEF,139700,55,,,,,,,,,,,,
Cooper Stephens,GEE,MID,123900,55,,,,,,,,,,,,
Dylan Williams,POR,MID,123900,55,,,,,,,,,,,,
Dylan Williams,POR,FWD,123900,55,,,,,,,,,,,,
Ely Smith,BRI,MID,123900,55,,,,,,,,,,,,
Ely Smith,BRI,FWD,123900,55,,,,,,,,,,,,
Lloyd Meek,FRE,RUC,123900,55,,,,,,,,,,,,
Miles Bergman,POR,FWD,123900,55,,,,,,,,,,,,
Nakia Cockatoo,BRI,MID,123900,55,,,,,,,,,,,,
Nakia Cockatoo,BRI,FWD,123900,55,,,,,,,,,,,,
Nathan Murphy,COL,DEF,123900,55,,,,,,,,,,,,
Riley Collier-Dawkins,RIC,MID,123900,55,,,,,,,,,,,,
Ryan Byrnes,STK,MID,123900,55,,,,,,,,,,,,
Stefan Giro,FRE,MID,123900,55,,,,,,,,,,,,
Jacob Wehr,GWS,DEF,117300,55,,,,,,,,,,,,
Thomas Highmore,STK,DEF,117300,55,,,,,,,,,,,,
Rory Thompson,GCS,DEF,123900,52,,,,,,,,,,,,
Jamarra Ugle-Hagan,WBD,FWD,207300,50,,,,,,,,,,,,
Keegan Brooksby,HAW,RUC,206900,50,,,,,,,,,,,,
Jake Stein,GWS,DEF,200100,50,,,,,,,,,,,,
Fischer Mcasey,ADE,DEF,199300,50,,,,,,,,,,,,
Lewis Young,WBD,MID,198300,50,,,,,,,,,,,,
Lewis Young,WBD,DEF,198300,50,,,,,,,,,,,,
Ben Davis,ADE,FWD,191800,50,,,,,,,,,,,,
Joel Garner,POR,DEF,189900,50,,,,,,,,,,,,
Liam Stocker,CAR,DEF,186500,50,,,,,,,,,,,,
Denver Grainger-Barras,HAW,DEF,184800,50,,,,,,,,,,,,
Liam Henry,FRE,FWD,184500,50,,,,,,,,,,,,
Lochie O'Brien,CAR,MID,180500,50,,,,,,,,,,,,
Zach Guthrie,GEE,DEF,180500,50,,,,,,,,,,,,
Jordon Butts,ADE,DEF,176800,50,,,,,,,,,,,,
Nikolas Cox,ESS,DEF,175800,50,,,,,,,,,,,,
Sam Philp,CAR,FWD,171100,50,,,,,,,,,,,,
Zach Reid,ESS,MID,166800,50,,,,,,,,,,,,
Zach Reid,ESS,DEF,166800,50,,,,,,,,,,,,
Jayden Hunt,MEL,FWD,163300,50,,,,,,,,,,,,
Matthew Ling,SYD,DEF,163000,50,,,,,,,,,,,,
Luke Pedlar,ADE,MID,162300,50,,,,,,,,,,,,
Callum Coleman-Jones,RIC,RUC,161200,50,,,,,,,,,,,,
Callum Coleman-Jones,RIC,FWD,161200,50,,,,,,,,,,,,
Kade Chandler,MEL,DEF,161200,50,,,,,,,,,,,,
Kade Chandler,MEL,FWD,161200,50,,,,,,,,,,,,
Mark Keane,COL,DEF,158000,50,,,,,,,,,,,,
Tanner Bruhn,GWS,MID,157800,50,,,,,,,,,,,,
Connor Ballenden,BRI,FWD,146100,50,,,,,,,,,,,,
Thomson Dow,RIC,MID,146100,50,,,,,,,,,,,,
Josh Morris,HAW,FWD,145100,50,,,,,,,,,,,,
Conor Stone,GWS,FWD,144300,50,,,,,,,,,,,,
Chad Warner,SYD,FWD,144000,50,,,,,,,,,,,,
Ben Jarvis,GEE,FWD,139200,50,,,,,,,,,,,,
Ben Jarvis,GEE,DEF,139200,50,,,,,,,,,,,,
Toby Bedford,MEL,FWD,137000,50,,,,,,,,,,,,
Tom Hutchesson,GWS,MID,135400,50,,,,,,,,,,,,
Tom Hutchesson,GWS,FWD,135400,50,,,,,,,,,,,,
Oliver Henry,COL,MID,135300,50,,,,,,,,,,,,
Oliver Henry,COL,FWD,135300,50,,,,,,,,,,,,
Ryan Angwin,GWS,MID,130800,50,,,,,,,,,,,,
Luke Foley,WCE,DEF,127900,50,,,,,,,,,,,,
Aaron Nietschke,MEL,MID,123900,50,,,,,,,,,,,,
Anton Tohill,COL,FWD,123900,50,,,,,,,,,,,,
Austin Bradtke,MEL,RUC,123900,50,,,,,,,,,,,,
Barry O'Connor,SYD,FWD,123900,50,,,,,,,,,,,,
Barry O'Connor,SYD,DEF,123900,50,,,,,,,,,,,,
Ben Johnson,WCE,DEF,123900,50,,,,,,,,,,,,
Ben Miller,RIC,DEF,123900,50,,,,,,,,,,,,
Bigoa Nyuon,RIC,RUC,123900,50,,,,,,,,,,,,
Brock Smith,BRI,MID,123900,50,,,,,,,,,,,,
Brock Smith,BRI,DEF,123900,50,,,,,,,,,,,,
Brodie Kemp,CAR,MID,123900,50,,,,,,,,,,,,
Buku Khamis,WBD,DEF,123900,50,,,,,,,,,,,,
Callum Jamieson,WCE,RUC,123900,50,,,,,,,,,,,,
Callum M. Brown,GWS,DEF,123900,50,,,,,,,,,,,,
Cameron Taheny,GEE,FWD,123900,50,,,,,,,,,,,,
Charlie Comben,NME,RUC,123900,50,,,,,,,,,,,,
Cian McBride,ESS,DEF,123900,50,,,,,,,,,,,,
Connor McFadyen,BRI,FWD,123900,50,,,,,,,,,,,,
Emerson Jeka,HAW,FWD,123900,50,,,,,,,,,,,,
Francis Evans,GEE,MID,123900,50,,,,,,,,,,,,
Francis Evans,GEE,FWD,123900,50,,,,,,,,,,,,
Harry Edwards,WCE,MID,123900,50,,,,,,,,,,,,
Harry Edwards,WCE,DEF,123900,50,,,,,,,,,,,,
Harry Pepper,HAW,DEF,123900,50,,,,,,,,,,,,
Hugo Ralphsmith,RIC,MID,123900,50,,,,,,,,,,,,
Jackson Mead,POR,MID,123900,50,,,,,,,,,,,,
Jacob Koschitzke,HAW,DEF,123900,50,,,,,,,,,,,,
Jake Pasini,POR,MID,123900,50,,,,,,,,,,,,
Jake Pasini,POR,DEF,123900,50,,,,,,,,,,,,
James Jordon,MEL,MID,123900,50,,,,,,,,,,,,
James Madden,BRI,FWD,123900,50,,,,,,,,,,,,
James Madden,BRI,DEF,123900,50,,,,,,,,,,,,
Jaxon Prior,BRI,DEF,123900,50,,,,,,,,,,,,
Jay Rantall,COL,MID,123900,50,,,,,,,,,,,,
Jez McLennan,GCS,DEF,123900,50,,,,,,,,,,,,
Jordon Sweet,WBD,RUC,123900,50,,,,,,,,,,,,
Josh Honey,CAR,MID,123900,50,,,,,,,,,,,,
Josh Worrell,ADE,DEF,123900,50,,,,,,,,,,,,
Kieren Briggs,GWS,DEF,123900,50,,,,,,,,,,,,
Kieren Briggs,GWS,FWD,123900,50,,,,,,,,,,,,
