Name,Team,Position,Price,Proj_Score,Type
Max Gawn,MEL,RUC,751400,146,Normal
Lachie Neale,BRI,MID,721800,128,Normal
Brodie Grundy,COL,RUC,648200,125,Normal
Jake Lloyd,SYD,DEF,656400,120,Normal
Jack Steele,STK,MID,658000,120,Normal
Clayton Oliver,MEL,MID,656700,119,Normal
Patrick Dangerfield,GEE,FWD,611900,117,Normal
Jack Macrae,WBD,MID,650100,117,Normal
Patrick Dangerfield,GEE,MID,611900,117,Normal
Zach Merrett,ESS,MID,620900,116,Normal
Christian Petracca,MEL,MID,631400,115,Normal
Jarryd Lyons,BRI,MID,604600,112,Normal
Marcus Bontempelli,WBD,MID,623900,111,Normal
Nat Fyfe,FRE,MID,608300,111,Normal
Todd Goldstein,NME,RUC,601700,111,Normal
Josh Kelly,GWS,MID,615600,110,Normal
Tom Mitchell,HAW,MID,610000,109,Normal
Matt Crouch,ADE,MID,594700,109,Normal
Sam Menegola,GEE,MID,579000,109,Normal
Reilly O'Brien,ADE,RUC,570800,109,Normal
Travis Boak,POR,MID,590400,108,Normal
Nic Naitanui,WCE,RUC,593700,108,Normal
Rory Laird,ADE,DEF,564800,107,Normal
Luke Parker,SYD,MID,571100,107,Normal
Touk Miller,GCS,MID,569200,107,Normal
Rory Laird,ADE,MID,564800,107,Normal
Andrew Gaff,WCE,MID,570800,106,Normal
Tom Rockliff,POR,MID,573000,106,Normal
Luke Ryan,FRE,DEF,576500,105,Normal
Caleb Daniel,WBD,DEF,545500,105,Normal
Taylor Adams,COL,MID,588800,105,Normal
Dustin Martin,RIC,MID,541600,105,Normal
Patrick Cripps,CAR,MID,523700,105,Normal
Dustin Martin,RIC,FWD,541600,104,Normal
Hugh Greenwood,GCS,MID,567300,104,Normal
Cameron Guthrie,GEE,MID,554700,104,Normal
Stephen Coniglio,GWS,MID,528900,104,Normal
Tom Liberatore,WBD,MID,569900,103,Normal
Jed Anderson,NME,MID,562300,103,Normal
Hugh McCluggage,BRI,MID,545500,103,Normal
Sam Walsh,CAR,MID,543300,103,Normal
Tim English,WBD,RUC,551200,103,Normal
Lachie Whitfield,GWS,DEF,561600,102,Normal
Jordan Ridley,ESS,DEF,547700,102,Normal
Lachie Hunter,WBD,MID,618500,102,Normal
Ollie Wines,POR,MID,560600,102,Normal
Jayden Short,RIC,DEF,519300,101,Normal
Tom Stewart,GEE,DEF,538000,101,Normal
Tom Hawkins,GEE,FWD,568600,101,Normal
Adam Saad,CAR,DEF,526200,100,Normal
Scott Pendlebury,COL,MID,592200,100,Normal
Andrew Brayshaw,FRE,MID,544200,100,Normal
Matt Rowell,GCS,MID,495100,100,Normal
Jeremy Howe,COL,DEF,517900,99,Normal
Callum Mills,SYD,DEF,544800,99,Normal
Steele Sidebottom,COL,FWD,588000,99,Normal
Steele Sidebottom,COL,MID,588000,99,Normal
Dylan Shiel,ESS,MID,548000,99,Normal
Dayne Zorko,BRI,FWD,525800,98,Normal
Adam Treloar,WBD,MID,587600,98,Normal
Dayne Zorko,BRI,MID,525800,98,Normal
Tim Taranto,GWS,MID,453700,98,Normal
Brayden Maynard,COL,DEF,549900,97,Normal
Jack Crisp,COL,DEF,533200,97,Normal
Luke McDonald,NME,DEF,512900,97,Normal
Josh Dunkley,WBD,FWD,560200,97,Normal
Josh Dunkley,WBD,MID,560200,97,Normal
Nick Haynes,GWS,DEF,528400,96,Normal
Sam Docherty,CAR,DEF,496000,96,Normal
Trent Dumont,NME,MID,543300,96,Normal
Tim Kelly,WCE,MID,517400,96,Normal
Shaun Higgins,GEE,MID,510400,96,Normal
David Mundy,FRE,MID,502000,96,Normal
Jy Simpkin,NME,MID,499700,96,Normal
Jack Viney,MEL,MID,534900,95,Normal
Josh P. Kennedy,SYD,MID,513500,95,Normal
Harry Perryman,GWS,MID,505000,95,Normal
Bailey Smith,WBD,MID,494600,95,Normal
Ed Curnow,CAR,MID,512600,94,Normal
Brad Crouch,STK,MID,448600,94,Normal
Mark Blicavs,GEE,DEF,531600,93,Normal
Shannon Hurn,WCE,DEF,477800,93,Normal
Robbie Gray,POR,FWD,491100,93,Normal
Mark Blicavs,GEE,MID,531600,93,Normal
Luke Shuey,WCE,MID,508600,93,Normal
Tom Green,GWS,MID,351400,93,Normal
Toby Nankervis,RIC,RUC,442900,93,Normal
Hunter Clark,STK,DEF,438900,92,Normal
Jacob Hopper,GWS,MID,488600,92,Normal
Elliot Yeo,WCE,MID,483000,92,Normal
Marc Murphy,CAR,MID,444700,92,Normal
Andrew McGrath,ESS,MID,510000,91,Normal
Brad Sheppard,WCE,DEF,492700,90,Normal
Dan Houston,POR,DEF,489300,90,Normal
Jack Billings,STK,MID,514800,90,Normal
Devon Smith,ESS,MID,458000,90,Normal
Joel Selwood,GEE,MID,445000,90,Normal
