Name,Team,Position,Price,2020_Average,model_proj_score,manual_weight,Proj_Score,proj_salary,value,2020_Games,talent,opportunity,durability,form,consistency,weighted_talent,weighted_opportunity,weighted_durability,weighted_form,weighted_consistency,2021 Notes
Max Gawn,MEL,RUC,751400,139.9,133,20,153,728709,-22691,14,138.86,9.3625,82.35,134.33,0.86,20,12.65,6.59,8,4.58,CAPTAIN weighting
Lachie Neale,BRI,MID,721800,134.4,131,0,131,718162,-3638,17,132.74,9.62,100,112.86,0.79,19.12,13,8,6.75,4.2,calf niggles
Jake Lloyd,SYD,DEF,656400,122.2,128,0,128,701006,44606,17,121.18,8.82,100,125.4,0.94,17.45,11.92,8,7.48,5,
Brodie Grundy,COL,RUC,648200,120.6,123,0,123,676960,28760,17,128.85,7.9625,100,106,0.84,18.56,10.76,8,6.35,4.47,
Clayton Oliver,MEL,MID,656700,122.2,122,0,122,667257,10557,17,121.24,8.43,100,109.5,0.76,17.46,11.39,8,6.56,4.04,
Matt Crouch,ADE,MID,594700,110.7,121,-10,111,663460,68760,16,109.69,9.25,94.12,128.8,0.69,15.8,12.5,7.53,7.68,3.67,groin soreness + off season surgery
Jack Steele,STK,MID,658000,122.5,121,,121,661632,3632,17,119.58,7.51,100,129.86,0.74,17.22,10.15,8,7.74,3.94,
Zach Merrett,ESS,MID,620900,115.6,121,-1,120,660929,40029,16,114.56,8.68,94.12,127,0.69,16.5,11.73,7.53,7.57,3.67,groin tighness
Tom Mitchell,HAW,MID,610000,113.5,119,-10,109,653054,43054,17,123.04,8.01,100,107.4,0.65,17.72,10.83,8,6.43,3.46,off season surgery
Jack Macrae,WBD,MID,650100,121,119,-1,118,650944,844,17,120.44,8.52,100,97.6,0.67,17.35,11.51,8,5.86,3.57,treloar factor
Christian Petracca,MEL,MID,631400,117.5,118,0,118,647007,15607,17,116.53,7.94,100,107.67,0.76,16.79,10.73,8,6.45,4.04,
Patrick Dangerfield,GEE,MID,611900,113.9,116,0,116,637445,25545,17,125.12,6.69,100,116.56,0.62,18.02,9.04,8,6.97,3.3,
Patrick Dangerfield,GEE,FWD,611900,113.9,116,0,116,637445,25545,17,125.12,6.69,100,116.56,0.62,18.02,9.04,8,6.97,3.3,
Todd Goldstein,NME,RUC,601700,112,115,-3,112,631257,29557,17,112.88,8.715,100,84,0.71,16.26,11.78,8,5.07,3.78,off season surgery
Andrew Gaff,WCE,MID,570800,106.2,115,0,115,628585,57785,17,104.94,8.48,100,114.83,0.61,15.12,11.46,8,6.87,3.25,
Reilly O'Brien,ADE,RUC,570800,106.2,114,0,114,624367,53567,17,105.24,8.4525,100,111.6,0.59,15.16,11.42,8,6.68,3.14,
Jarryd Lyons,BRI,MID,604600,112.5,113,0,113,620289,15689,17,109.58,7.74,100,98.71,0.74,15.78,10.46,8,5.93,3.94,
Taylor Adams,COL,MID,588800,109.6,113,-4,109,620007,31207,17,109.63,7.19,100,106.43,0.79,15.79,9.72,8,6.38,4.2,out for first 2 weeks
Rory Laird,ADE,DEF,564800,105.1,112,0,112,615929,51129,17,104.12,8.1,100,117.6,0.53,15,10.95,8,7.03,2.82,
Rory Laird,ADE,MID,564800,105.1,112,0,112,615929,51129,17,104.12,8.1,100,117.6,0.53,15,10.95,8,7.03,2.82,
Luke Parker,SYD,MID,571100,106.3,112,-2,110,615226,44126,17,105.29,7.57,100,109.8,0.71,15.17,10.23,8,6.57,3.78,niggle
Lachie Whitfield,GWS,DEF,561600,104.5,112,-10,102,612554,50954,17,104.1,7.69,100,117.6,0.59,15,10.39,8,7.03,3.14,liver compaint
Nat Fyfe,FRE,MID,608300,113.2,111,-1,110,610164,1864,14,118.36,7.12,82.35,112.4,0.64,17.05,9.62,6.59,6.72,3.41,niggle
Marcus Bontempelli,WBD,MID,623900,116.1,111,0,111,609461,-14439,17,112.68,6.74,100,112.8,0.61,16.23,9.11,8,6.75,3.25,
Travis Boak,POR,MID,590400,109.9,111,0,111,609461,19061,17,107.47,7.43,100,112.5,0.58,15.48,10.04,8,6.73,3.09,
Rowan Marshall,STK,RUC,557200,103.7,111,-50,61,607773,50573,17,105.64,8.3825,100,102.86,0.47,15.22,11.33,8,6.17,2.5,broken something
Josh Kelly,GWS,MID,615600,114.6,111,-1,110,606508,-9092,14,113.57,7.39,82.35,107,0.71,16.36,9.99,6.59,6.41,3.78,niggle
Sam Menegola,GEE,MID,579000,107.8,110,0,110,602429,23429,17,105.71,6.83,100,110.33,0.71,15.23,9.23,8,6.6,3.78,
Nic Naitanui,WCE,RUC,593700,110.5,109,-2,107,599055,5355,16,110.41,6.895,94.12,112.2,0.59,15.9,9.32,7.53,6.71,3.14,2 week injury
Dustin Martin,RIC,MID,541600,100.8,109,0,109,598773,57173,16,112.89,7.12,94.12,108.67,0.5,16.26,9.62,7.53,6.51,2.66,
Dustin Martin,RIC,FWD,541600,100.8,109,0,109,598773,57173,16,112.89,7.12,94.12,108.67,0.5,16.26,9.62,7.53,6.51,2.66,
Mitch Duncan,GEE,MID,556700,103.6,109,-2,107,598070,41370,16,107.75,6.56,94.12,110.56,0.75,15.52,8.87,7.53,6.62,3.99,2 week injury
Tom Rockliff,POR,MID,573000,106.6,109,0,109,597508,24508,14,106.12,7.39,82.35,122.67,0.62,15.29,9.99,6.59,7.32,3.3,
