,Name,Team,Position,Proj_Score,Price,adp
3,Jake Lloyd,SYD,DEF,128,656400,46
13,Patrick Dangerfield,GEE,FWD,116,611900,43
1,Max Gawn,MEL,RUC,133,751400,42
31,Dustin Martin,RIC,FWD,109,541600,36
2,Lachie Neale,BRI,MID,131,721800,34
4,Brodie Grundy,COL,RUC,123,648200,32
19,Rory Laird,ADE,DEF,112,564800,30
51,Steele Sidebottom,COL,FWD,103,588000,30
22,Lachie Whitfield,GWS,DEF,108,561600,26
5,Clayton Oliver,MEL,MID,122,656700,25
36,Caleb Daniel,WBD,DEF,107,545500,25
72,Dayne Zorko,BRI,FWD,98,525800,25
76,Josh Dunkley,WBD,FWD,98,560200,25
7,Jack Steele,STK,MID,121,658000,24
39,Luke Ryan,FRE,DEF,106,576500,24
80,Tom Hawkins,GEE,FWD,97,568600,24
6,Matt Crouch,ADE,MID,120,594700,23
8,Zach Merrett,ESS,MID,120,620900,23
16,Reilly O'Brien,ADE,RUC,114,570800,23
88,Robbie Gray,POR,FWD,95,491100,22
10,Jack Macrae,WBD,MID,118,650100,21
11,Christian Petracca,MEL,MID,118,631400,21
14,Todd Goldstein,NME,RUC,112,601700,21
84,Michael Walters,FRE,FWD,94,531100,21
52,Luke McDonald,NME,DEF,102,512900,20
9,Tom Mitchell,HAW,MID,116,610000,19
12,Patrick Dangerfield,GEE,MID,116,611900,19
55,Jeremy Howe,COL,DEF,101,517900,19
56,Jordan Ridley,ESS,DEF,101,547700,19
57,Tom Stewart,GEE,DEF,101,538000,19
58,Adam Saad,CAR,DEF,101,526200,19
15,Andrew Gaff,WCE,MID,115,570800,18
60,Callum Mills,SYD,DEF,100,544800,18
61,Jayden Short,RIC,DEF,100,519300,18
62,Jack Crisp,COL,DEF,100,533200,18
17,Jarryd Lyons,BRI,MID,113,604600,16
29,Nic Naitanui,WCE,RUC,107,593700,16
37,Tim English,WBD,RUC,107,551200,16
69,Sam Docherty,CAR,DEF,98,496000,16
74,Steven May,MEL,DEF,98,507900,16
20,Rory Laird,ADE,MID,112,564800,15
78,Brayden Maynard,COL,DEF,97,549900,15
21,Luke Parker,SYD,MID,111,571100,14
24,Marcus Bontempelli,WBD,MID,111,623900,14
25,Travis Boak,POR,MID,111,590400,14
133,Shai Bolton,RIC,FWD,87,462400,14
23,Nat Fyfe,FRE,MID,110,608300,13
27,Josh Kelly,GWS,MID,110,615600,13
28,Sam Menegola,GEE,MID,110,579000,13
85,Shannon Hurn,WCE,DEF,95,477800,13
86,Nick Haynes,GWS,DEF,95,528400,13
140,Kyle Langford,ESS,FWD,86,436900,13
18,Taylor Adams,COL,MID,109,588800,12
30,Dustin Martin,RIC,MID,109,541600,12
33,Tom Rockliff,POR,MID,109,573000,12
93,Daniel Rich,BRI,DEF,94,483100,12
34,Touk Miller,GCS,MID,108,569200,11
35,Sam Walsh,CAR,MID,108,543300,11
96,Christian Salem,MEL,DEF,93,469100,11
99,Dan Houston,POR,DEF,93,489300,11
119,Liam Duggan,WCE,DEF,93,448600,11
147,Kane Lambert,RIC,FWD,84,445900,11
149,Liam Ryan,WCE,FWD,84,409600,11
151,Zak Butters,POR,FWD,84,471400,11
32,Mitch Duncan,GEE,MID,107,556700,10
38,Cameron Guthrie,GEE,MID,107,554700,10
135,Zac Williams,CAR,DEF,92,458600,10
154,Tom Lynch,ADE,FWD,83,407900,10
40,Lachie Hunter,WBD,MID,106,618500,9
41,Jed Anderson,NME,MID,106,562300,9
104,Brad Sheppard,WCE,DEF,91,492700,9
148,Chad Wingard,HAW,FWD,82,452300,9
162,Toby Greene,GWS,FWD,82,448400,9
163,Jack Gunston,HAW,FWD,82,438200,9
42,Patrick Cripps,CAR,MID,105,523700,8
43,Stephen Coniglio,GWS,MID,105,528900,8
44,Tom Liberatore,WBD,MID,105,569900,8
45,Hugh Greenwood,GCS,MID,105,567300,8
46,Hugh McCluggage,BRI,MID,105,545500,8
