"","Name","Team","Position","proj_score","proj_salary","Price","value","2020_Games","2020_Average","talent","opportunity","durability","form","consistency","weighted_talent","weighted_opportunity","weighted_durability","weighted_form","weighted_consistency"
"1","Max Gawn","MEL","RUC",136,715510,751400,-35890,14,139.9,139.86,9.3625,82.35,134.33,0.86,20,12.57,6.16,8,9.15
"2","Lachie Neale","BRI","MID",134,703986,721800,-17814,17,134.4,133.74,9.62,100,112.86,0.79,18.82,13,8,6.75,8.41
"3","Jake Lloyd","SYD","DEF",131,688237,656400,31837,17,122.2,122.18,8.82,100,125.4,0.94,16.6,11.67,8,7.48,10
"4","Brodie Grundy","COL","RUC",127,667366,648200,19166,17,120.6,132.5,7.9625,100,106,0.84,18.59,10.24,8,6.35,8.94
"5","Clayton Oliver","MEL","MID",123,643934,656700,-12766,17,122.2,122.24,8.43,100,109.5,0.76,16.62,11.02,8,6.56,8.09
"6","Todd Goldstein","NME","RUC",121,637915,601700,36215,17,112,127.88,8.715,100,84,0.71,17.7,11.49,8,5.07,7.56
"7","Matt Crouch","ADE","MID",121,636891,594700,42191,16,110.7,113.56,9.25,94.12,128.8,0.69,14.95,12.38,7.39,7.68,7.34
"8","Tom Mitchell","HAW","MID",121,634970,610000,24970,17,113.5,129.04,8.01,100,107.4,0.65,17.92,10.32,8,6.43,6.92
"9","Jack Macrae","WBD","MID",120,632666,650100,-17434,17,121,125.57,8.52,100,97.6,0.67,17.25,11.17,8,5.86,7.13
"10","Jack Steele","STK","MID",120,632410,658000,-25590,17,122.5,120.58,7.51,100,129.86,0.74,16.3,9.48,8,7.74,7.87
"11","Zach Merrett","ESS","MID",120,628184,620900,7284,16,115.6,115.56,8.68,94.12,127,0.69,15.33,11.43,7.39,7.57,7.34
"12","Patrick Dangerfield","GEE","MID",118,622038,611900,10138,17,113.9,134.12,6.69,100,116.56,0.62,18.9,8.11,8,6.97,6.6
"13","Patrick Dangerfield","GEE","FWD",118,622038,611900,10138,17,113.9,134.12,6.69,100,116.56,0.62,18.9,8.11,8,6.97,6.6
"14","Christian Petracca","MEL","MID",118,620373,631400,-11027,17,117.5,117.53,7.94,100,107.67,0.76,15.71,10.2,8,6.45,8.09
"15","Andrew Gaff","WCE","MID",114,598734,570800,27934,17,106.2,110.19,8.48,100,114.83,0.61,14.3,11.1,8,6.87,6.49
"16","Taylor Adams","COL","MID",112,590539,588800,1739,17,109.6,110.63,7.19,100,106.43,0.79,14.38,8.95,8,6.38,8.41
"17","Jarryd Lyons","BRI","MID",112,589643,604600,-14957,17,112.5,110.58,7.74,100,98.71,0.74,14.38,9.87,8,5.93,7.87
"18","Luke Parker","SYD","MID",112,588234,571100,17134,17,106.3,109.8,7.57,100,109.8,0.71,14.23,9.58,8,6.57,7.56
"19","Reilly O'Brien","ADE","RUC",111,583241,570800,12441,17,106.2,106.24,8.4525,100,111.6,0.59,13.54,11.05,8,6.68,6.28
"20","Nat Fyfe","FRE","MID",110,577991,608300,-30309,14,113.2,122.25,7.12,82.35,112.4,0.64,16.62,8.83,6.16,6.72,6.81
"21","Lachie Whitfield","GWS","DEF",109,573637,561600,12037,17,104.5,107.1,7.69,100,117.6,0.59,13.71,9.78,8,7.03,6.28
