helper2,Name,Team,Position,Price,2020_Games,2020_Average,talent,opportunity,durability,form,consistency,manual_weight
Jake LloydSYD,Jake Lloyd,SYD,DEF,656400,17,122.2,122.18,8.82,100,125.4,0.94,0
Luke RyanFRE,Luke Ryan,FRE,DEF,576500,17,107.3,106.71,6.2,100,102.2,0.71,0
Lachie WhitfieldGWS,Lachie Whitfield,GWS,DEF,561600,17,104.5,107.1,7.69,100,117.6,0.59,0
James SicilyHAW,James Sicily,HAW,DEF,552900,11,102.9,104.56,5.66,64.71,102.9,0.45,0
Brayden MaynardCOL,Brayden Maynard,COL,DEF,549900,17,102.4,96.84,5.87,100,89.71,0.53,0
Jordan RidleyESS,Jordan Ridley,ESS,DEF,547700,17,101.9,101.94,5.91,100,97.17,0.59,0
Caleb DanielWBD,Caleb Daniel,WBD,DEF,545500,17,101.5,104.44,6.51,100,118.8,0.56,0
Callum MillsSYD,Callum Mills,SYD,DEF,544800,15,101.4,101.4,6.17,88.24,108,0.53,0
Tom StewartGEE,Tom Stewart,GEE,DEF,538000,14,100.1,101.06,6.16,82.35,110.33,0.67,0
Jack CrispCOL,Jack Crisp,COL,DEF,533200,17,99.2,98.16,6.07,100,108.29,0.42,0
Nick HaynesGWS,Nick Haynes,GWS,DEF,528400,17,98.4,98.35,5.36,100,81.8,0.53,0
Adam SaadCAR,Adam Saad,CAR,DEF,526200,17,97.9,97.94,6.24,100,96.33,0.59,0
Jayden ShortRIC,Jayden Short,RIC,DEF,519300,17,96.6,98.33,6.56,100,99.33,0.43,0
Jeremy HoweCOL,Jeremy Howe,COL,DEF,517900,4,120.5,120.5,6.83,23.53,120.5,0.75,0
Luke McDonaldNME,Luke McDonald,NME,DEF,512900,17,95.5,95.47,6.74,100,114.8,0.41,0
Steven MayMEL,Steven May,MEL,DEF,507900,17,94.5,94.53,5.4,100,110.67,0.53,0
Sam DochertyCAR,Sam Docherty,CAR,DEF,496000,16,92.3,113.46,6.62,94.12,85,0.31,0
Brad SheppardWCE,Brad Sheppard,WCE,DEF,492700,17,91.7,89.89,5.55,100,86.83,0.39,0
Dane RampeSYD,Dane Rampe,SYD,DEF,492300,11,91.6,97.19,5,64.71,91.6,0.36,0
Dan HoustonPOR,Dan Houston,POR,DEF,489300,15,91.1,91.61,5.58,88.24,105.75,0.41,0
Jordan DawsonSYD,Jordan Dawson,SYD,DEF,485700,16,85.4,86.09,5.55,94.12,98,0.31,0
Nick VlastuinRIC,Nick Vlastuin,RIC,DEF,483500,16,90,91.62,4.7,94.12,81.89,0.35,0
Daniel RichBRI,Daniel Rich,BRI,DEF,483100,13,89.9,95.46,6.11,76.47,118.25,0.33,0
Shannon HurnWCE,Shannon Hurn,WCE,DEF,477800,16,88.9,102.74,5.57,94.12,101,0.29,0
Harris AndrewsBRI,Harris Andrews,BRI,DEF,469700,14,87.4,87.56,3.82,82.35,88.75,0.31,0
Christian SalemMEL,Christian Salem,MEL,DEF,469100,16,87.3,90.45,6.34,94.12,92.67,0.38,0
Bachar HouliRIC,Bachar Houli,RIC,DEF,465600,9,86.7,108.17,6.41,52.94,74,0.31,0
Robbie TarrantNME,Robbie Tarrant,NME,DEF,463100,16,86.2,86.19,5.21,94.12,90,0.31,0
Jeremy McGovernWCE,Jeremy McGovern,WCE,DEF,462100,11,86,94.65,4.57,64.71,85.5,0.25,0
Zac WilliamsCAR,Zac Williams,CAR,DEF,458600,11,85.4,101.62,5.66,64.71,75.75,0.36,0
Tom DoedeeADE,Tom Doedee,ADE,DEF,457900,9,85.2,85.22,5.07,52.94,85.2,0.56,0
